filename,words
997.jpg,RSV
964.jpg,Saleswoman
995.jpg,Infrastructure ECML $ 9
963.jpg,THY cruz @ Intervener
994.jpg,hostel + Easel %
987.jpg,Esperance
989.jpg,squid :
988.jpg,loam Adjoining rump ?
999.jpg,Erected
972.jpg,6,46178
981.jpg,It 036
983.jpg,caliber $ RFC
982.jpg,Strange persons
984.jpg,Abigail "
986.jpg,Atul {
990.jpg,Roasts Bright 32046
998.jpg,Freudian %
